seed,duration,num_tries,num_input_toks,num_output_toks
0,95.4310131072998,1,1785,6379
1,87.0674159526825,1,1785,5861
2,70.12627911567688,1,1785,4733
3,80.66529417037964,1,1785,4706
4,62.19482684135437,1,1785,4347
5,97.21635103225708,1,1785,6208
6,44.09124994277954,1,1785,2171
7,65.06938004493713,1,1785,4434
8,69.72632384300232,1,1785,3971
9,72.81005620956421,1,1785,4319
10,48.10273098945618,1,1785,2640
11,73.25269603729248,1,1785,4769
12,20.07117509841919,1,1785,1343
13,59.42915105819702,1,1785,3904
14,111.18071293830872,1,1785,6562
15,93.10497808456421,1,1785,5033
16,79.05729103088379,1,1785,5345
17,72.41995811462402,1,1785,4088
18,86.43779826164246,1,1785,5519
19,80.67781496047974,1,1785,4496
20,97.81164622306824,1,1785,6524
21,25.80922222137451,1,1785,1494
22,23.285049200057983,1,1785,1104
23,90.63501906394958,1,1785,5309
24,175.8532600402832,2,1785,4630
25,96.62985181808472,1,1785,6138
26,31.159582138061523,1,1785,1747
27,85.78290319442749,1,1785,4937
28,65.07042407989502,1,1785,3817
29,28.471128940582275,1,1785,1399
