graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1977460246667926,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
0.0,race/ethnicity,1.0995822964806257,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
0.0,age,1.5623339355935808,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
0.0,religion,1.2143140364789848,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
0.0,political affiliation,1.6075012436317477,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
0.0,gender,0.8095426909859899,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
0.0,race/ethnicity,0.9104531287461041,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
0.0,age,0.6284585841593477,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
0.0,religion,0.8897964905126604,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
0.0,political affiliation,0.4148906291303198,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
1.0,gender,1.2833549023232884,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
1.0,race/ethnicity,1.1994465730097914,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
1.0,age,1.5851045776589878,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
1.0,religion,1.1269883665716998,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
1.0,political affiliation,1.5601569400792916,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
1.0,gender,0.7270892687559354,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
1.0,race/ethnicity,0.8206526940377069,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
1.0,age,0.6542501271321134,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
1.0,religion,0.9347006668803124,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
1.0,political affiliation,0.4604898702120924,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
2.0,gender,1.206561860500698,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
2.0,race/ethnicity,1.1652794292508917,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
2.0,age,1.7902990085713157,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
2.0,religion,1.1000359195402298,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
2.0,political affiliation,1.5228450666513664,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
2.0,gender,0.8010517978190392,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
2.0,race/ethnicity,0.851376637262764,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
2.0,age,0.5911469854456525,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
2.0,religion,0.948560021596124,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
2.0,political affiliation,0.4964264662540525,global-expressive_gpt-4o-mini_w_interests_w_reason,cross_ratio
3.0,gender,1.3636310374727567,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
3.0,race/ethnicity,0.9667921321029626,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
3.0,age,1.9269396447413,global-expressive_gpt-4o-mini_w_interests_w_reason,same_ratio
