seed,duration,num_tries,num_input_toks,num_output_toks
0,66.69224500656128,1,1194,2079
1,73.33346724510193,1,1194,2030
2,31.785024881362915,1,1194,723
3,67.8104681968689,1,1194,2079
4,57.887184143066406,1,1194,1979
5,56.09485483169556,1,1194,2069
6,61.84728980064392,1,1194,1980
7,50.3325297832489,1,1194,2079
8,54.249932050704956,1,1194,2079
9,51.81051206588745,1,1194,2009
10,54.87736129760742,1,1194,2079
11,53.07945919036865,1,1194,2079
12,50.850882053375244,1,1194,2068
13,51.11310911178589,1,1194,2079
14,49.85703229904175,1,1194,1979
15,51.824472188949585,1,1194,2079
16,67.57884383201599,1,1194,2073
17,58.50855088233948,1,1194,2079
18,53.92304611206055,1,1194,2079
19,69.23675179481506,1,1194,1978
20,54.15287208557129,1,1194,2044
21,54.32990097999573,1,1194,2079
22,56.97606897354126,1,1194,2030
23,55.8795120716095,1,1194,1979
24,60.55649995803833,1,1194,2079
25,57.69651794433594,1,1194,2069
26,65.54639506340027,1,1194,2077
27,64.3758008480072,1,1194,1979
28,62.15029191970825,1,1194,2077
29,61.38149619102478,1,1194,1979
