graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.7752670280714937,global-expressive_gpt-4o_w_interests,same_ratio
0.0,race/ethnicity,1.1809417871709305,global-expressive_gpt-4o_w_interests,same_ratio
0.0,age,2.4895613937848724,global-expressive_gpt-4o_w_interests,same_ratio
0.0,religion,1.456523986765922,global-expressive_gpt-4o_w_interests,same_ratio
0.0,political affiliation,1.9725189200794375,global-expressive_gpt-4o_w_interests,same_ratio
0.0,gender,0.25330851943755167,global-expressive_gpt-4o_w_interests,cross_ratio
0.0,race/ethnicity,0.8372926564974578,global-expressive_gpt-4o_w_interests,cross_ratio
0.0,age,0.43351223437520225,global-expressive_gpt-4o_w_interests,cross_ratio
0.0,religion,0.7652484814652365,global-expressive_gpt-4o_w_interests,cross_ratio
0.0,political affiliation,0.06332712985938792,global-expressive_gpt-4o_w_interests,cross_ratio
1.0,gender,1.6102329450915143,global-expressive_gpt-4o_w_interests,same_ratio
1.0,race/ethnicity,1.2038793103448275,global-expressive_gpt-4o_w_interests,same_ratio
1.0,age,2.3152920962199315,global-expressive_gpt-4o_w_interests,same_ratio
1.0,religion,1.3545673076923077,global-expressive_gpt-4o_w_interests,same_ratio
1.0,political affiliation,1.9771214642262895,global-expressive_gpt-4o_w_interests,same_ratio
1.0,gender,0.41225961538461536,global-expressive_gpt-4o_w_interests,cross_ratio
1.0,race/ethnicity,0.8166666666666667,global-expressive_gpt-4o_w_interests,cross_ratio
1.0,age,0.4517189747805408,global-expressive_gpt-4o_w_interests,cross_ratio
1.0,religion,0.8176761433868974,global-expressive_gpt-4o_w_interests,cross_ratio
1.0,political affiliation,0.05889423076923077,global-expressive_gpt-4o_w_interests,cross_ratio
2.0,gender,1.6029110059286302,global-expressive_gpt-4o_w_interests,same_ratio
2.0,race/ethnicity,1.2918480080348174,global-expressive_gpt-4o_w_interests,same_ratio
2.0,age,2.2069862876588933,global-expressive_gpt-4o_w_interests,same_ratio
2.0,religion,1.1721667289021658,global-expressive_gpt-4o_w_interests,same_ratio
2.0,political affiliation,1.978902476455099,global-expressive_gpt-4o_w_interests,same_ratio
2.0,gender,0.41931167537963654,global-expressive_gpt-4o_w_interests,cross_ratio
2.0,race/ethnicity,0.7375630315345827,global-expressive_gpt-4o_w_interests,cross_ratio
2.0,age,0.44310136896025776,global-expressive_gpt-4o_w_interests,cross_ratio
2.0,religion,0.9114692716646464,global-expressive_gpt-4o_w_interests,cross_ratio
2.0,political affiliation,0.05717886482449589,global-expressive_gpt-4o_w_interests,cross_ratio
3.0,gender,1.6034387132556849,global-expressive_gpt-4o_w_interests,same_ratio
3.0,race/ethnicity,1.3517241379310345,global-expressive_gpt-4o_w_interests,same_ratio
3.0,age,2.4696449026345935,global-expressive_gpt-4o_w_interests,same_ratio
3.0,religion,1.53125,global-expressive_gpt-4o_w_interests,same_ratio
3.0,political affiliation,2.0110926234054354,global-expressive_gpt-4o_w_interests,same_ratio
3.0,gender,0.4188034188034188,global-expressive_gpt-4o_w_interests,cross_ratio
3.0,race/ethnicity,0.6837209302325581,global-expressive_gpt-4o_w_interests,cross_ratio
3.0,age,0.4018476654629439,global-expressive_gpt-4o_w_interests,cross_ratio
3.0,religion,0.726823238566131,global-expressive_gpt-4o_w_interests,cross_ratio
3.0,political affiliation,0.026175213675213676,global-expressive_gpt-4o_w_interests,cross_ratio
4.0,gender,1.5228450666513664,global-expressive_gpt-4o_w_interests,same_ratio
4.0,race/ethnicity,1.286662703131193,global-expressive_gpt-4o_w_interests,same_ratio
4.0,age,2.5160959039380657,global-expressive_gpt-4o_w_interests,same_ratio
4.0,religion,1.6585156940760388,global-expressive_gpt-4o_w_interests,same_ratio
4.0,political affiliation,1.9211276225448006,global-expressive_gpt-4o_w_interests,same_ratio
4.0,gender,0.4964264662540525,global-expressive_gpt-4o_w_interests,cross_ratio
4.0,race/ethnicity,0.7422257863316405,global-expressive_gpt-4o_w_interests,cross_ratio
4.0,age,0.4224840693185013,global-expressive_gpt-4o_w_interests,cross_ratio
4.0,religion,0.6613812994615177,global-expressive_gpt-4o_w_interests,cross_ratio
4.0,political affiliation,0.11282419687592102,global-expressive_gpt-4o_w_interests,cross_ratio
5.0,gender,1.5183028286189686,global-expressive_gpt-4o_w_interests,same_ratio
5.0,race/ethnicity,1.228448275862069,global-expressive_gpt-4o_w_interests,same_ratio
5.0,age,2.2336769759450172,global-expressive_gpt-4o_w_interests,same_ratio
5.0,religion,1.3822115384615385,global-expressive_gpt-4o_w_interests,same_ratio
5.0,political affiliation,1.9342762063227954,global-expressive_gpt-4o_w_interests,same_ratio
5.0,gender,0.500801282051282,global-expressive_gpt-4o_w_interests,cross_ratio
5.0,race/ethnicity,0.7945736434108528,global-expressive_gpt-4o_w_interests,cross_ratio
5.0,age,0.5020404568274567,global-expressive_gpt-4o_w_interests,cross_ratio
5.0,religion,0.8034610630407911,global-expressive_gpt-4o_w_interests,cross_ratio
5.0,political affiliation,0.10016025641025642,global-expressive_gpt-4o_w_interests,cross_ratio
6.0,gender,1.528702163061564,global-expressive_gpt-4o_w_interests,same_ratio
6.0,race/ethnicity,1.153815453384419,global-expressive_gpt-4o_w_interests,same_ratio
6.0,age,2.06583301514573,global-expressive_gpt-4o_w_interests,same_ratio
6.0,religion,1.1724314458689458,global-expressive_gpt-4o_w_interests,same_ratio
6.0,political affiliation,2.000523818327479,global-expressive_gpt-4o_w_interests,same_ratio
6.0,gender,0.4907852564102564,global-expressive_gpt-4o_w_interests,cross_ratio
6.0,race/ethnicity,0.8616853287395924,global-expressive_gpt-4o_w_interests,cross_ratio
6.0,age,0.4945171897478054,global-expressive_gpt-4o_w_interests,cross_ratio
6.0,religion,0.9113331502083046,global-expressive_gpt-4o_w_interests,cross_ratio
6.0,political affiliation,0.03635446343779677,global-expressive_gpt-4o_w_interests,cross_ratio
7.0,gender,1.6509983361064893,global-expressive_gpt-4o_w_interests,same_ratio
7.0,race/ethnicity,1.3728448275862069,global-expressive_gpt-4o_w_interests,same_ratio
7.0,age,2.4836769759450172,global-expressive_gpt-4o_w_interests,same_ratio
7.0,religion,1.384014423076923,global-expressive_gpt-4o_w_interests,same_ratio
7.0,political affiliation,1.9771214642262895,global-expressive_gpt-4o_w_interests,same_ratio
7.0,gender,0.3729967948717949,global-expressive_gpt-4o_w_interests,cross_ratio
7.0,race/ethnicity,0.6647286821705426,global-expressive_gpt-4o_w_interests,cross_ratio
7.0,age,0.4718593112357241,global-expressive_gpt-4o_w_interests,cross_ratio
7.0,religion,0.8025339925834364,global-expressive_gpt-4o_w_interests,cross_ratio
7.0,political affiliation,0.05889423076923077,global-expressive_gpt-4o_w_interests,cross_ratio
8.0,gender,1.7050908741840523,global-expressive_gpt-4o_w_interests,same_ratio
8.0,race/ethnicity,1.3809681697612732,global-expressive_gpt-4o_w_interests,same_ratio
8.0,age,2.104810996563574,global-expressive_gpt-4o_w_interests,same_ratio
8.0,religion,1.3590976331360947,global-expressive_gpt-4o_w_interests,same_ratio
8.0,political affiliation,1.9598745680276464,global-expressive_gpt-4o_w_interests,same_ratio
8.0,gender,0.3208980522682446,global-expressive_gpt-4o_w_interests,cross_ratio
8.0,race/ethnicity,0.6574239713774598,global-expressive_gpt-4o_w_interests,cross_ratio
8.0,age,0.4948630059644123,global-expressive_gpt-4o_w_interests,cross_ratio
8.0,religion,0.8153465817248264,global-expressive_gpt-4o_w_interests,cross_ratio
8.0,political affiliation,0.07550542406311637,global-expressive_gpt-4o_w_interests,cross_ratio
9.0,gender,1.682067104986834,global-expressive_gpt-4o_w_interests,same_ratio
9.0,race/ethnicity,1.414881151657181,global-expressive_gpt-4o_w_interests,same_ratio
9.0,age,2.1252460547826377,global-expressive_gpt-4o_w_interests,same_ratio
9.0,religion,1.2865244585511575,global-expressive_gpt-4o_w_interests,same_ratio
9.0,political affiliation,1.978902476455099,global-expressive_gpt-4o_w_interests,same_ratio
9.0,gender,0.34307318894697536,global-expressive_gpt-4o_w_interests,cross_ratio
9.0,race/ethnicity,0.6269285768043953,global-expressive_gpt-4o_w_interests,cross_ratio
9.0,age,0.5342356930726512,global-expressive_gpt-4o_w_interests,cross_ratio
9.0,religion,0.8526648025249918,global-expressive_gpt-4o_w_interests,cross_ratio
9.0,political affiliation,0.05717886482449589,global-expressive_gpt-4o_w_interests,cross_ratio
10.0,gender,1.490347628504464,global-expressive_gpt-4o_w_interests,same_ratio
10.0,race/ethnicity,1.3853355580274378,global-expressive_gpt-4o_w_interests,same_ratio
10.0,age,2.082178620256439,global-expressive_gpt-4o_w_interests,same_ratio
10.0,religion,1.2982061621174523,global-expressive_gpt-4o_w_interests,same_ratio
10.0,political affiliation,1.9725189200794375,global-expressive_gpt-4o_w_interests,same_ratio
10.0,gender,0.527726082161566,global-expressive_gpt-4o_w_interests,cross_ratio
10.0,race/ethnicity,0.6534967075102109,global-expressive_gpt-4o_w_interests,cross_ratio
10.0,age,0.5120162339989007,global-expressive_gpt-4o_w_interests,cross_ratio
10.0,religion,0.8466578943870701,global-expressive_gpt-4o_w_interests,cross_ratio
10.0,political affiliation,0.06332712985938792,global-expressive_gpt-4o_w_interests,cross_ratio
11.0,gender,1.5791998321116456,global-expressive_gpt-4o_w_interests,same_ratio
11.0,race/ethnicity,1.2367971419695558,global-expressive_gpt-4o_w_interests,same_ratio
11.0,age,2.3892449150181108,global-expressive_gpt-4o_w_interests,same_ratio
11.0,religion,1.1672730422730422,global-expressive_gpt-4o_w_interests,same_ratio
11.0,political affiliation,1.9464556070213308,global-expressive_gpt-4o_w_interests,same_ratio
11.0,gender,0.44214887964887967,global-expressive_gpt-4o_w_interests,cross_ratio
11.0,race/ethnicity,0.7870661359033452,global-expressive_gpt-4o_w_interests,cross_ratio
11.0,age,0.44518697376804894,global-expressive_gpt-4o_w_interests,cross_ratio
11.0,religion,0.9139856791278299,global-expressive_gpt-4o_w_interests,cross_ratio
