seed,duration,num_tries,num_input_toks,num_output_toks
0,191.78889799118042,1,1785,10198
1,53.47917580604553,1,1785,2798
2,42.0359160900116,1,1785,2155
3,46.69249892234802,1,1785,2222
4,30.481750965118408,1,1785,1314
5,189.1655240058899,1,1785,9424
6,23.876972913742065,1,1785,1129
7,31.019674062728882,1,1785,1404
8,215.57376503944397,1,1785,10950
9,22.388962984085083,1,1785,1027
10,59.167330741882324,1,1785,3031
11,35.80899095535278,1,1785,1701
12,42.02945518493652,1,1785,1998
13,196.59619975090027,1,1785,10247
14,45.631410121917725,1,1785,2125
15,224.97398281097412,1,1785,10715
16,37.62952494621277,1,1785,1913
17,60.103333950042725,1,1785,1111
18,33.69542717933655,1,1785,1460
19,39.155515909194946,1,1785,2003
20,37.975250005722046,1,1785,1896
21,39.16551494598389,1,1785,1830
22,41.98331809043884,1,1785,2113
23,61.42150592803955,1,1785,3005
24,17.08678698539734,1,1785,866
25,46.231099128723145,1,1785,2351
26,37.46156287193298,1,1785,1724
27,210.96388983726501,1,1785,11209
28,171.80769801139832,1,1785,9629
29,39.042125940322876,1,1785,1849
