graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.192457016084304,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
0.0,race/ethnicity,1.113505747126437,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
0.0,age,1.6179839633447881,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
0.0,religion,1.1618589743589742,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
0.0,political affiliation,1.8788130892956185,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
0.0,gender,0.8146367521367521,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
0.0,race/ethnicity,0.8979328165374678,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
0.0,age,0.6777056848986622,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
0.0,religion,0.9167696744952616,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
0.0,political affiliation,0.15357905982905984,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
1.0,gender,1.1599908012391271,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
1.0,race/ethnicity,1.3050182225960192,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
1.0,age,1.437431900092197,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
1.0,religion,0.9815705128205127,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
1.0,political affiliation,1.9554130649459573,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
1.0,gender,0.8459062956014176,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
1.0,race/ethnicity,0.7257200478981535,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
1.0,age,0.8181280691289634,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
1.0,religion,1.0094767202307375,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
1.0,political affiliation,0.07980248071711486,global-expressive_gpt-4o_w_interests_w_reason,cross_ratio
2.0,gender,1.1911964906973227,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
2.0,race/ethnicity,1.1520376175548588,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
2.0,age,2.1321462043111525,global-expressive_gpt-4o_w_interests_w_reason,same_ratio
