seed,duration,num_tries,num_input_toks,num_output_toks
0,40.45862126350403,1,1785,2209
1,23.933268070220947,1,1785,1275
2,44.68322682380676,1,1785,2401
3,40.460482120513916,1,1785,2110
4,36.27660322189331,1,1785,1915
5,46.81557583808899,1,1785,2286
6,12.618835926055908,1,1785,664
7,40.88521599769592,1,1785,2208
8,24.4105441570282,1,1785,1108
9,31.60499596595764,1,1785,1758
10,42.62130689620972,1,1785,1788
11,172.48850202560425,1,1785,8617
12,34.396732330322266,1,1785,1768
13,46.70059013366699,1,1785,2045
14,56.16042423248291,1,1785,2839
15,98.68367528915405,2,1785,2545
16,29.51087784767151,1,1785,1361
17,27.76931405067444,1,1785,1277
18,32.612481117248535,1,1785,1768
19,60.5913200378418,1,1785,2568
20,43.93116593360901,1,1785,2309
21,33.342214822769165,1,1785,1812
22,39.380691051483154,1,1785,2181
23,17.216266870498657,1,1785,943
24,39.77062392234802,1,1785,1972
25,25.128861904144287,1,1785,1175
26,25.11687707901001,1,1785,1250
27,210.9864308834076,1,1785,10882
28,30.9915668964386,1,1785,1349
29,47.98513388633728,1,1785,2419
