seed,duration,num_tries,num_input_toks,num_output_toks
0,226.82775402069092,3,2361,5147
1,238.73297595977783,2,2196,4216
2,131.9469711780548,1,2517,4301
3,318.52131509780884,2,2388,4086
4,159.06106114387512,1,2296,5436
5,125.33077502250671,1,2693,3989
6,198.14789986610413,1,2415,6549
7,134.11841988563538,1,2156,4720
8,221.26796698570251,1,2459,6344
9,192.4801938533783,1,2302,6767
10,167.4749240875244,1,2515,5223
11,211.16257286071777,1,2238,7181
12,105.40851879119873,1,2302,3299
13,167.39984488487244,1,2255,5419
14,133.38704705238342,1,2201,3870
15,241.98727011680603,1,2342,8872
16,249.5001401901245,1,2197,9100
17,252.49284672737122,1,2196,7500
18,163.91233110427856,1,2444,5602
19,118.19019532203674,1,2562,3852
20,157.80556321144104,1,2345,4758
21,222.21119689941406,1,2398,7000
22,249.47350907325745,1,2173,7456
23,158.15705680847168,1,2217,4870
24,123.9718132019043,1,2362,4212
