graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.0946938775510204,global-expressive_gpt-4o_w_names_w_interests_w_reason,
0.0,avg_clustering_coef,0.34543356643356643,global-expressive_gpt-4o_w_names_w_interests_w_reason,
0.0,prop_nodes_lcc,0.92,global-expressive_gpt-4o_w_names_w_interests_w_reason,
0.0,radius,1.0447570262568968,global-expressive_gpt-4o_w_names_w_interests_w_reason,
0.0,diameter,1.8283247959495696,global-expressive_gpt-4o_w_names_w_interests_w_reason,
0.0,avg_shortest_path,0.7409194756256641,global-expressive_gpt-4o_w_names_w_interests_w_reason,
0.0,modularity,0.48171819262782406,global-expressive_gpt-4o_w_names_w_interests_w_reason,
1.0,density,0.07183673469387755,global-expressive_gpt-4o_w_names_w_interests_w_reason,
1.0,avg_clustering_coef,0.22766666666666666,global-expressive_gpt-4o_w_names_w_interests_w_reason,
1.0,prop_nodes_lcc,0.9,global-expressive_gpt-4o_w_names_w_interests_w_reason,
1.0,radius,1.0507892440554523,global-expressive_gpt-4o_w_names_w_interests_w_reason,
1.0,diameter,2.1015784881109045,global-expressive_gpt-4o_w_names_w_interests_w_reason,
1.0,avg_shortest_path,0.8669011263457481,global-expressive_gpt-4o_w_names_w_interests_w_reason,
1.0,modularity,0.5163352272727273,global-expressive_gpt-4o_w_names_w_interests_w_reason,
2.0,density,0.11346938775510204,global-expressive_gpt-4o_w_names_w_interests_w_reason,
2.0,avg_clustering_coef,0.3952308802308802,global-expressive_gpt-4o_w_names_w_interests_w_reason,
2.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason,
2.0,radius,0.7668666559059943,global-expressive_gpt-4o_w_names_w_interests_w_reason,
2.0,diameter,1.5337333118119887,global-expressive_gpt-4o_w_names_w_interests_w_reason,
2.0,avg_shortest_path,0.7144901849856122,global-expressive_gpt-4o_w_names_w_interests_w_reason,
2.0,modularity,0.5043217224781327,global-expressive_gpt-4o_w_names_w_interests_w_reason,
3.0,density,0.14775510204081632,global-expressive_gpt-4o_w_names_w_interests_w_reason,
3.0,avg_clustering_coef,0.4556788359559258,global-expressive_gpt-4o_w_names_w_interests_w_reason,
3.0,prop_nodes_lcc,0.96,global-expressive_gpt-4o_w_names_w_interests_w_reason,
3.0,radius,0.7749533004219863,global-expressive_gpt-4o_w_names_w_interests_w_reason,
3.0,diameter,1.5499066008439726,global-expressive_gpt-4o_w_names_w_interests_w_reason,
3.0,avg_shortest_path,0.6251839569007158,global-expressive_gpt-4o_w_names_w_interests_w_reason,
3.0,modularity,0.33637556851133976,global-expressive_gpt-4o_w_names_w_interests_w_reason,
4.0,density,0.13142857142857142,global-expressive_gpt-4o_w_names_w_interests_w_reason,
4.0,avg_clustering_coef,0.39038802202269696,global-expressive_gpt-4o_w_names_w_interests_w_reason,
4.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason,
4.0,radius,0.7668666559059943,global-expressive_gpt-4o_w_names_w_interests_w_reason,
4.0,diameter,1.2781110931766573,global-expressive_gpt-4o_w_names_w_interests_w_reason,
4.0,avg_shortest_path,0.6226748574757788,global-expressive_gpt-4o_w_names_w_interests_w_reason,
4.0,modularity,0.35233980170518114,global-expressive_gpt-4o_w_names_w_interests_w_reason,
5.0,density,0.13551020408163264,global-expressive_gpt-4o_w_names_w_interests_w_reason,
5.0,avg_clustering_coef,0.45383172383172377,global-expressive_gpt-4o_w_names_w_interests_w_reason,
5.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason,
5.0,radius,0.7668666559059943,global-expressive_gpt-4o_w_names_w_interests_w_reason,
5.0,diameter,1.2781110931766573,global-expressive_gpt-4o_w_names_w_interests_w_reason,
5.0,avg_shortest_path,0.634986458210052,global-expressive_gpt-4o_w_names_w_interests_w_reason,
5.0,modularity,0.3964109449847584,global-expressive_gpt-4o_w_names_w_interests_w_reason,
6.0,density,0.17387755102040817,global-expressive_gpt-4o_w_names_w_interests_w_reason,
6.0,avg_clustering_coef,0.5688653235653236,global-expressive_gpt-4o_w_names_w_interests_w_reason,
6.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason,
6.0,radius,0.7668666559059943,global-expressive_gpt-4o_w_names_w_interests_w_reason,
6.0,diameter,1.2781110931766573,global-expressive_gpt-4o_w_names_w_interests_w_reason,
6.0,avg_shortest_path,0.5711330713509406,global-expressive_gpt-4o_w_names_w_interests_w_reason,
6.0,modularity,0.2595384513654698,global-expressive_gpt-4o_w_names_w_interests_w_reason,
7.0,density,0.07346938775510205,global-expressive_gpt-4o_w_names_w_interests_w_reason,
7.0,avg_clustering_coef,0.35303174603174603,global-expressive_gpt-4o_w_names_w_interests_w_reason,
7.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason,
7.0,radius,1.5337333118119887,global-expressive_gpt-4o_w_names_w_interests_w_reason,
7.0,diameter,2.811844404988646,global-expressive_gpt-4o_w_names_w_interests_w_reason,
7.0,avg_shortest_path,1.1339192947464418,global-expressive_gpt-4o_w_names_w_interests_w_reason,
7.0,modularity,0.6044444444444445,global-expressive_gpt-4o_w_names_w_interests_w_reason,
8.0,density,0.1436734693877551,global-expressive_gpt-4o_w_names_w_interests_w_reason,
8.0,avg_clustering_coef,0.560104625680477,global-expressive_gpt-4o_w_names_w_interests_w_reason,
8.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason,
8.0,radius,0.7668666559059943,global-expressive_gpt-4o_w_names_w_interests_w_reason,
8.0,diameter,1.2781110931766573,global-expressive_gpt-4o_w_names_w_interests_w_reason,
8.0,avg_shortest_path,0.6214228302824629,global-expressive_gpt-4o_w_names_w_interests_w_reason,
8.0,modularity,0.4248611828512397,global-expressive_gpt-4o_w_names_w_interests_w_reason,
9.0,density,0.10530612244897959,global-expressive_gpt-4o_w_names_w_interests_w_reason,
9.0,avg_clustering_coef,0.36921203632968336,global-expressive_gpt-4o_w_names_w_interests_w_reason,
9.0,prop_nodes_lcc,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason,
9.0,radius,0.7668666559059943,global-expressive_gpt-4o_w_names_w_interests_w_reason,
9.0,diameter,1.5337333118119887,global-expressive_gpt-4o_w_names_w_interests_w_reason,
9.0,avg_shortest_path,0.6869455867326622,global-expressive_gpt-4o_w_names_w_interests_w_reason,
