graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1647254575707153,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
0.0,race/ethnicity,0.8674568965517241,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
0.0,age,1.7665378006872854,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
0.0,religion,0.9499069478908189,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
0.0,political affiliation,1.2132657284768211,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
0.0,gender,0.8413461538461537,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
0.0,race/ethnicity,1.119186046511628,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
0.0,age,0.6480101876045917,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
0.0,religion,1.02455900243309,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
0.0,political affiliation,0.792572463768116,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
1.0,gender,1.053105934553522,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
1.0,race/ethnicity,1.1733716475095786,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
1.0,age,1.3330469644902634,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
1.0,religion,0.8612489660876758,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
1.0,political affiliation,1.216887417218543,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
1.0,gender,0.9488514957264957,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
1.0,race/ethnicity,0.8440999138673557,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
1.0,age,0.7568610564705806,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
1.0,religion,1.0680251419302513,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
1.0,political affiliation,0.7890499194847022,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
2.0,gender,1.037664498563001,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
2.0,race/ethnicity,0.9088296760710554,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
2.0,age,1.734874518379673,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
2.0,religion,0.8105872622001654,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
2.0,political affiliation,1.1185530804736104,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
2.0,gender,0.9637237762237763,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
2.0,race/ethnicity,1.0819826168663378,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
2.0,age,0.6645875092191995,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
2.0,religion,1.0928629359286293,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
2.0,political affiliation,0.8846923339676963,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
3.0,gender,1.1001256184504853,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
3.0,race/ethnicity,0.951130395067367,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
3.0,age,1.547245169659316,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
3.0,religion,0.9360672440142639,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
3.0,political affiliation,1.1349557036972062,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
3.0,gender,0.9035649091526575,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
3.0,race/ethnicity,1.0439447610246932,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
3.0,age,0.6808319744222043,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
3.0,religion,1.0313441613896004,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
3.0,political affiliation,0.8687387358565015,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
4.0,gender,1.106802282933462,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
4.0,race/ethnicity,0.885706340378198,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
4.0,age,1.6521634704208699,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
4.0,religion,0.7027268603751434,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
4.0,political affiliation,1.1558249661753188,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
4.0,gender,0.8971343396746623,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
4.0,race/ethnicity,1.102775693923481,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
4.0,age,0.6063757212313265,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
4.0,religion,1.145743400570337,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
4.0,political affiliation,0.8484407736394647,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
5.0,gender,1.031219377453914,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
5.0,race/ethnicity,1.010119940029985,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
5.0,age,1.647243388614971,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
5.0,religion,0.8890828666424738,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
5.0,political affiliation,1.06617935764207,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
5.0,gender,0.9699313367791628,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
5.0,race/ethnicity,0.9908998988877654,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
5.0,age,0.5664825012274537,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
5.0,religion,1.0543790811959646,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
5.0,political affiliation,0.9356323155945084,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
6.0,gender,1.1050859010083596,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
6.0,race/ethnicity,1.0942044038221852,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
6.0,age,1.749782635697429,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
6.0,religion,1.0437531764776227,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
6.0,political affiliation,1.185121279821272,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
6.0,gender,0.8987874575223972,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
6.0,race/ethnicity,0.9152890632296629,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
6.0,age,0.650401140689118,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
6.0,religion,0.9785492334300705,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
6.0,political affiliation,0.819946452476573,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
7.0,gender,1.1079095815916562,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
7.0,race/ethnicity,1.0155592935239697,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
7.0,age,1.5254379347917193,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
7.0,religion,0.963808025177026,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
7.0,political affiliation,1.2225407850104992,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
7.0,gender,0.8960678549093184,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
7.0,race/ethnicity,0.9860086972962753,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
7.0,age,0.7868415418248895,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
7.0,religion,1.0177437540798766,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
7.0,political affiliation,0.7835513137740073,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
8.0,gender,1.019134775374376,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
8.0,race/ethnicity,0.8626760563380281,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
8.0,age,1.54155171579304,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
8.0,religion,0.8776605039667285,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
8.0,political affiliation,1.185465441656562,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
8.0,gender,0.9815705128205128,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
8.0,race/ethnicity,1.1234850966262693,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
8.0,age,0.6463548620929062,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
8.0,religion,1.059979095987115,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
8.0,political affiliation,0.8196117121407998,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
9.0,gender,1.08862123733172,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
9.0,race/ethnicity,0.9840321316614419,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
9.0,age,1.602526554201812,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
9.0,religion,0.8980938416422288,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
9.0,political affiliation,1.140831953642384,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,same_ratio
9.0,gender,0.9146452505827505,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
9.0,race/ethnicity,1.0143587033121917,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
9.0,age,0.6725025088677801,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
9.0,religion,1.0499612917496128,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
9.0,political affiliation,0.8630233494363929,global-expressive_gpt-4o_w_names_w_interests_w_reason_default,cross_ratio
