graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.4752906976744187,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
0.0,race/ethnicity,1.1820652173913042,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
0.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
0.0,religion,1.0399590163934427,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
0.0,political affiliation,1.3691546762589928,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
0.0,gender,0.6891634980988594,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
0.0,race/ethnicity,0.9656762295081966,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
0.0,age,0.7373335798816568,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
0.0,religion,0.9934826203208555,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
0.0,political affiliation,0.8266469594594594,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
1.0,gender,1.3589031586254772,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
1.0,race/ethnicity,1.8818948734587926,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
1.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
1.0,religion,1.915830682652312,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
1.0,political affiliation,1.0275958337807365,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
1.0,gender,0.7652800635605245,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
1.0,race/ethnicity,0.8337411304135063,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
1.0,age,0.8451823721628544,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
1.0,religion,0.8506265464123234,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
1.0,political affiliation,0.9870411456232353,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,cross_ratio
2.0,gender,1.559593023255814,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
2.0,race/ethnicity,1.8913043478260867,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
2.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_karate,same_ratio
