graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
0.0,race/ethnicity,1.3230681494154548,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
0.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
0.0,religion,1.555126555126555,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
0.0,political affiliation,1.5010351966873705,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
0.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
0.0,race/ethnicity,0.798685145700071,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
0.0,age,0.3305471124620061,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
0.0,religion,0.8098177542621986,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
0.0,political affiliation,0.7671957671957672,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
1.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
1.0,race/ethnicity,1.4244947604790419,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
1.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
1.0,religion,1.0409628378378377,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
1.0,political affiliation,1.4775815217391304,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
1.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
1.0,race/ethnicity,0.7354827425373134,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
1.0,age,0.4699966755319149,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
1.0,religion,0.9859664351851851,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
1.0,political affiliation,0.7780934343434343,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
2.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
2.0,race/ethnicity,1.1491722437477985,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
2.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
2.0,religion,1.0757816640169582,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
2.0,political affiliation,1.452472293265132,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
2.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
2.0,race/ethnicity,0.9070456540825285,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
2.0,age,0.6805381727158949,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
2.0,religion,0.9740377632534495,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
2.0,political affiliation,0.7897603485838779,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
3.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
3.0,race/ethnicity,1.1067564441931588,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
3.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
3.0,religion,1.05962185361327,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
3.0,political affiliation,1.3393356969583876,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
3.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
3.0,race/ethnicity,0.9334763948497853,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
3.0,age,0.7696214957538124,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
3.0,religion,0.9795739945954537,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
3.0,political affiliation,0.8423288680799409,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
4.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
4.0,race/ethnicity,1.33759508011005,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
4.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
4.0,religion,1.376917457998539,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
4.0,political affiliation,1.36310223266745,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
4.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
4.0,race/ethnicity,0.7896329164985881,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
4.0,age,0.37521564117308803,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
4.0,religion,0.8708708708708709,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
4.0,political affiliation,0.8312858312858312,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
5.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
5.0,race/ethnicity,1.2352614358911043,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
5.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
5.0,religion,1.1312343271106156,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
5.0,political affiliation,1.4298520842671447,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
5.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
5.0,race/ethnicity,0.8534005231574088,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
5.0,age,0.5128591796446589,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
5.0,religion,0.9550400916380297,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
5.0,political affiliation,0.8002707487243569,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
6.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
6.0,race/ethnicity,1.157684630738523,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
6.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
6.0,religion,1.1479661479661478,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
6.0,political affiliation,1.6875274483970135,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
6.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
6.0,race/ethnicity,0.9017412935323382,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
6.0,age,0.4791263700838169,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
6.0,religion,0.9493078937523381,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
6.0,political affiliation,0.6805428017549229,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
7.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
7.0,race/ethnicity,1.3790066924973583,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
7.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
7.0,religion,1.383147853736089,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
7.0,political affiliation,1.6687979539641942,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
7.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
7.0,race/ethnicity,0.7638279192273923,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
7.0,age,0.23818836045056319,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
7.0,religion,0.8687363834422658,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
7.0,political affiliation,0.6892453951277481,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
8.0,gender,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
8.0,race/ethnicity,1.3709423258745665,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
8.0,age,1.0,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
8.0,religion,0.9797297297297297,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
8.0,political affiliation,1.4931350114416475,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,same_ratio
8.0,gender,,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
8.0,race/ethnicity,0.76885310290652,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
8.0,age,0.39578667413213886,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
8.0,religion,1.0069444444444444,global-expressive_gpt-4o_w_names_w_interests_w_reason_moreno,cross_ratio
