graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.27403933875853,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
0.0,race/ethnicity,1.7916072901822546,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
0.0,age,1.1287541510053642,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
0.0,religion,1.2810153056374178,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
0.0,political affiliation,1.3551901297532438,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
0.0,gender,0.8626444980977466,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
0.0,race/ethnicity,0.8464621337755667,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
0.0,age,0.8188656197224333,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
0.0,religion,0.958689697579518,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
0.0,political affiliation,0.8290620657293941,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
1.0,gender,1.0134968264552617,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
1.0,race/ethnicity,1.492310035023603,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
1.0,age,1.1647650095082858,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
1.0,religion,1.3398314353728364,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
1.0,political affiliation,1.3679508654383026,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
1.0,gender,0.9932350465438702,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
1.0,race/ethnicity,0.9045129659164747,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
1.0,age,0.8411367516111936,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
1.0,religion,0.9500435062232815,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
1.0,political affiliation,0.8229208652425097,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
2.0,gender,1.4230909508435883,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
2.0,race/ethnicity,0.952275188095172,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
2.0,age,1.1500560591119697,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
2.0,religion,1.508779955660344,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
2.0,political affiliation,1.3263832977039895,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
2.0,gender,0.7879360307658975,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
2.0,race/ethnicity,1.009256566831443,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
2.0,age,0.8632429855501559,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
2.0,religion,0.9252074409750244,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
2.0,political affiliation,0.8429255713589022,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
3.0,gender,1.1696232577231276,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
3.0,race/ethnicity,1.347980779811466,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
3.0,age,1.1422956115146432,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
3.0,religion,1.0251522618438793,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
3.0,political affiliation,0.9548197190331218,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
3.0,gender,0.9149804994990697,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
3.0,race/ethnicity,0.9325066518689261,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
3.0,age,0.866598768666954,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
3.0,religion,0.9963025233057219,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
3.0,political affiliation,1.0217433516624155,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
4.0,gender,1.2185986864183327,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
4.0,race/ethnicity,1.3880677899300424,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
4.0,age,1.174552950764658,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
4.0,religion,1.109185712501561,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
4.0,political affiliation,1.101401615922751,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
4.0,gender,0.8904327662437524,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
4.0,race/ethnicity,0.9247314910369606,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
4.0,age,0.843668707216194,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
4.0,religion,0.9839492913270176,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
4.0,political affiliation,0.9511997060009011,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
5.0,gender,1.137677451147628,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
5.0,race/ethnicity,1.383857270850376,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
5.0,age,1.0796326832319325,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
5.0,religion,1.1492124623512565,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
5.0,political affiliation,1.1691207977873865,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
5.0,gender,0.9309925520595835,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
5.0,race/ethnicity,0.9255481511703462,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
5.0,age,0.8762970769748191,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
5.0,religion,0.9780652091861917,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
5.0,political affiliation,0.9186093379451271,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
6.0,gender,1.1306044463155167,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
6.0,race/ethnicity,1.0599354387833204,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
6.0,age,1.1008516977282663,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
6.0,religion,1.3434850466107056,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
6.0,political affiliation,1.2230024293653698,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
6.0,gender,0.9345377223737177,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
6.0,race/ethnicity,0.9883750952067438,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
6.0,age,0.9218665910709611,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
6.0,religion,0.9495064116873775,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
6.0,political affiliation,0.8926783955412125,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
7.0,gender,1.4226772616136918,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
7.0,race/ethnicity,1.6928391959798996,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
7.0,age,1.1356458842705786,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
7.0,religion,1.495488322717622,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
7.0,political affiliation,1.2568048576214406,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
7.0,gender,0.7881433823529412,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
7.0,race/ethnicity,0.8656189083820662,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
7.0,age,0.8492970335298096,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
7.0,religion,0.9271613607990012,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
7.0,political affiliation,0.8764107214832729,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
8.0,gender,1.1409942950285248,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
8.0,race/ethnicity,1.0422482784291829,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
8.0,age,1.1409942950285248,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
8.0,religion,1.2797829676810566,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
8.0,political affiliation,1.058533407779639,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
8.0,gender,0.9293300653594772,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
8.0,race/ethnicity,0.9918056458017471,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
8.0,age,0.8498763523403584,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
8.0,religion,0.9588708558746011,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
8.0,political affiliation,0.9718303551435352,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
9.0,gender,1.2776343460940038,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
9.0,race/ethnicity,1.4636117651193028,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
9.0,age,1.110075743327577,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
9.0,religion,1.3640817780945167,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
9.0,political affiliation,1.1838036335523774,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,same_ratio
9.0,gender,0.8608425887837653,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
9.0,race/ethnicity,0.9100791995528836,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
9.0,age,0.8914918302298726,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
9.0,religion,0.9464786150179408,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
9.0,political affiliation,0.9115431122686263,global-expressive_gpt-4o_w_names_w_interests_w_reason_trust,cross_ratio
