seed,duration,num_tries,num_input_toks,num_output_toks
0,6.017672777175903,1,1000,90
1,4.964437007904053,1,1000,56
2,1.8393490314483643,1,1000,36
3,6.21783709526062,1,1000,160
4,28.170623064041138,2,1000,316
5,5.76017689704895,1,1000,114
6,2.3010928630828857,1,1000,40
7,4.532309055328369,1,1000,114
8,8.997674942016602,2,1000,56
9,4.081992864608765,1,1000,82
10,11.57155728340149,1,1000,238
11,7.298125743865967,1,1000,134
12,8.109062910079956,1,1000,198
13,7.402408123016357,1,1000,162
14,7.31498384475708,1,1000,68
15,5.9353790283203125,1,1000,138
16,8.202786207199097,1,1000,176
17,6.773326873779297,1,1000,148
18,7.533010959625244,1,1000,202
19,7.6345460414886475,1,1000,150
20,12.343125104904175,1,1000,288
21,1.9160888195037842,1,1000,38
22,5.173728704452515,1,1000,114
23,6.770514965057373,1,1000,194
24,5.795965909957886,1,1000,106
25,6.255358934402466,1,1000,150
26,7.17205810546875,1,1000,162
27,14.296059846878052,1,1000,298
28,7.558527231216431,1,1000,154
29,4.895702123641968,1,1000,92
