graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.1404081632653061,sequential_gpt-3.5-turbo,
0.0,avg_clustering_coef,0.45555760311477195,sequential_gpt-3.5-turbo,
0.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
0.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
0.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
0.0,avg_shortest_path,0.565916291378791,sequential_gpt-3.5-turbo,
0.0,modularity,0.3383078691184424,sequential_gpt-3.5-turbo,
1.0,density,0.16,sequential_gpt-3.5-turbo,
1.0,avg_clustering_coef,0.48498532025648733,sequential_gpt-3.5-turbo,
1.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
1.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
1.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
1.0,avg_shortest_path,0.5283554755793136,sequential_gpt-3.5-turbo,
1.0,modularity,0.3165087463556851,sequential_gpt-3.5-turbo,
2.0,density,0.16653061224489796,sequential_gpt-3.5-turbo,
2.0,avg_clustering_coef,0.49801875882786895,sequential_gpt-3.5-turbo,
2.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
2.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
2.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
2.0,avg_shortest_path,0.5419191035069028,sequential_gpt-3.5-turbo,
2.0,modularity,0.32330113417916184,sequential_gpt-3.5-turbo,
3.0,density,0.12979591836734694,sequential_gpt-3.5-turbo,
3.0,avg_clustering_coef,0.44227034403504994,sequential_gpt-3.5-turbo,
3.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
3.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
3.0,diameter,1.2781110931766573,sequential_gpt-3.5-turbo,
3.0,avg_shortest_path,0.6122412975314796,sequential_gpt-3.5-turbo,
3.0,modularity,0.42658518254815875,sequential_gpt-3.5-turbo,
4.0,density,0.16,sequential_gpt-3.5-turbo,
4.0,avg_clustering_coef,0.5037835440684411,sequential_gpt-3.5-turbo,
4.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
4.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
4.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
4.0,avg_shortest_path,0.5523526634512019,sequential_gpt-3.5-turbo,
4.0,modularity,0.32870418575593496,sequential_gpt-3.5-turbo,
5.0,density,0.1436734693877551,sequential_gpt-3.5-turbo,
5.0,avg_clustering_coef,0.5348944088591148,sequential_gpt-3.5-turbo,
5.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
5.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
5.0,diameter,1.2781110931766573,sequential_gpt-3.5-turbo,
5.0,avg_shortest_path,0.5999296967972065,sequential_gpt-3.5-turbo,
5.0,modularity,0.39971268078512395,sequential_gpt-3.5-turbo,
6.0,density,0.14612244897959184,sequential_gpt-3.5-turbo,
6.0,avg_clustering_coef,0.5563527379875475,sequential_gpt-3.5-turbo,
6.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
6.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
6.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
6.0,avg_shortest_path,0.536702323534753,sequential_gpt-3.5-turbo,
6.0,modularity,0.33177803439343345,sequential_gpt-3.5-turbo,
7.0,density,0.1510204081632653,sequential_gpt-3.5-turbo,
7.0,avg_clustering_coef,0.5085444140310532,sequential_gpt-3.5-turbo,
7.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
7.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
7.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
7.0,avg_shortest_path,0.5360763099380951,sequential_gpt-3.5-turbo,
7.0,modularity,0.29059167275383496,sequential_gpt-3.5-turbo,
8.0,density,0.13306122448979593,sequential_gpt-3.5-turbo,
8.0,avg_clustering_coef,0.49815347274834937,sequential_gpt-3.5-turbo,
8.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
8.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
8.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
8.0,avg_shortest_path,0.5415017611091307,sequential_gpt-3.5-turbo,
8.0,modularity,0.3390605592984305,sequential_gpt-3.5-turbo,
9.0,density,0.16408163265306122,sequential_gpt-3.5-turbo,
9.0,avg_clustering_coef,0.45403325964782004,sequential_gpt-3.5-turbo,
9.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
9.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
9.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
9.0,avg_shortest_path,0.5216779972149622,sequential_gpt-3.5-turbo,
9.0,modularity,0.3053266008267122,sequential_gpt-3.5-turbo,
10.0,density,0.1493877551020408,sequential_gpt-3.5-turbo,
10.0,avg_clustering_coef,0.4880063694850712,sequential_gpt-3.5-turbo,
10.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
10.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
10.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
10.0,avg_shortest_path,0.5477618970757102,sequential_gpt-3.5-turbo,
10.0,modularity,0.2815402072322255,sequential_gpt-3.5-turbo,
11.0,density,0.15510204081632653,sequential_gpt-3.5-turbo,
11.0,avg_clustering_coef,0.49388629261792694,sequential_gpt-3.5-turbo,
11.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
11.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
11.0,diameter,0.7668666559059943,sequential_gpt-3.5-turbo,
11.0,avg_shortest_path,0.5333635843525774,sequential_gpt-3.5-turbo,
11.0,modularity,0.34970914127423824,sequential_gpt-3.5-turbo,
12.0,density,0.1510204081632653,sequential_gpt-3.5-turbo,
12.0,avg_clustering_coef,0.5682987006412771,sequential_gpt-3.5-turbo,
12.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
12.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
12.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
12.0,avg_shortest_path,0.5767671937208622,sequential_gpt-3.5-turbo,
12.0,modularity,0.4166398831263697,sequential_gpt-3.5-turbo,
13.0,density,0.1493877551020408,sequential_gpt-3.5-turbo,
13.0,avg_clustering_coef,0.3576221025351461,sequential_gpt-3.5-turbo,
13.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
13.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
13.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
13.0,avg_shortest_path,0.553187348246746,sequential_gpt-3.5-turbo,
13.0,modularity,0.35262324942518436,sequential_gpt-3.5-turbo,
14.0,density,0.1363265306122449,sequential_gpt-3.5-turbo,
14.0,avg_clustering_coef,0.49496148296148285,sequential_gpt-3.5-turbo,
14.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
14.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
14.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
14.0,avg_shortest_path,0.5897048080517933,sequential_gpt-3.5-turbo,
14.0,modularity,0.40524938147656786,sequential_gpt-3.5-turbo,
15.0,density,0.13714285714285715,sequential_gpt-3.5-turbo,
15.0,avg_clustering_coef,0.46944087943748364,sequential_gpt-3.5-turbo,
15.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
15.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
15.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
15.0,avg_shortest_path,0.5481792394734822,sequential_gpt-3.5-turbo,
15.0,modularity,0.36123511904761907,sequential_gpt-3.5-turbo,
16.0,density,0.15591836734693879,sequential_gpt-3.5-turbo,
16.0,avg_clustering_coef,0.5289587831501144,sequential_gpt-3.5-turbo,
16.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
16.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
16.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
16.0,avg_shortest_path,0.566124962577677,sequential_gpt-3.5-turbo,
16.0,modularity,0.3691921822318467,sequential_gpt-3.5-turbo,
17.0,density,0.15428571428571428,sequential_gpt-3.5-turbo,
17.0,avg_clustering_coef,0.5654201495099326,sequential_gpt-3.5-turbo,
17.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
17.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
17.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
17.0,avg_shortest_path,0.5602821690088694,sequential_gpt-3.5-turbo,
17.0,modularity,0.39807116262142705,sequential_gpt-3.5-turbo,
18.0,density,0.1363265306122449,sequential_gpt-3.5-turbo,
18.0,avg_clustering_coef,0.4115022975782836,sequential_gpt-3.5-turbo,
18.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
18.0,radius,0.5112444372706629,sequential_gpt-3.5-turbo,
18.0,diameter,1.0224888745413259,sequential_gpt-3.5-turbo,
18.0,avg_shortest_path,0.579688590505266,sequential_gpt-3.5-turbo,
18.0,modularity,0.4038689088888092,sequential_gpt-3.5-turbo,
19.0,density,0.1510204081632653,sequential_gpt-3.5-turbo,
19.0,avg_clustering_coef,0.4836547863900804,sequential_gpt-3.5-turbo,
19.0,prop_nodes_lcc,1.0,sequential_gpt-3.5-turbo,
19.0,radius,0.7668666559059943,sequential_gpt-3.5-turbo,
