graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1270431633551925,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
0.0,age,1.139074186375581,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
0.0,race/ethnicity,1.4411764705882353,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
0.0,religion,1.2125282805429862,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
0.0,political affiliation,1.642605461485759,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
0.0,gender,0.8776395173453997,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
0.0,age,0.9082191638876272,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
0.0,race/ethnicity,0.6032831737346102,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
0.0,religion,0.8907147531447684,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
0.0,political affiliation,0.3810803167420815,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
1.0,gender,1.2627328436345928,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
1.0,age,1.3347581929427543,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
1.0,race/ethnicity,1.37026913372582,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
1.0,religion,1.3502579737335834,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
1.0,political affiliation,1.401931739783288,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
1.0,gender,0.7469512195121951,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
1.0,age,0.8661397306554023,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
1.0,race/ethnicity,0.6670448099829835,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
1.0,religion,0.819892067894721,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
1.0,political affiliation,0.6128830519074422,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
2.0,gender,1.0715474209650582,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
2.0,age,1.154639175257732,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
2.0,race/ethnicity,1.2551724137931035,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
2.0,religion,1.6153846153846154,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
2.0,political affiliation,1.6772046589018303,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
2.0,gender,0.9310897435897436,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
2.0,age,0.8489768356771674,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
2.0,race/ethnicity,0.7705426356589147,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
2.0,religion,0.6835599505562422,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
2.0,political affiliation,0.34775641025641024,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
3.0,gender,1.1679971582942286,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
3.0,age,1.3007258967527704,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
3.0,race/ethnicity,0.9373789228981014,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
3.0,religion,1.5716157087294726,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
3.0,political affiliation,1.431369066537045,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
3.0,gender,0.8381950446557188,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
3.0,age,0.8989201132535184,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
3.0,race/ethnicity,1.0563104259210871,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
3.0,religion,0.7060665824085776,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
3.0,political affiliation,0.5845307548256986,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
4.0,gender,1.327963495184793,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
4.0,age,1.275643028220348,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
4.0,race/ethnicity,1.2587077673284568,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
4.0,religion,1.2641438422688422,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
4.0,political affiliation,1.6264979243348627,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
4.0,gender,0.6841249028749029,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
4.0,age,0.9111104586868657,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
4.0,race/ethnicity,0.7673635580612325,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
4.0,religion,0.864173252924798,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
4.0,political affiliation,0.3965941465941466,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
5.0,gender,1.1231281198003327,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
5.0,age,1.1168384879725086,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
5.0,race/ethnicity,1.4224137931034482,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
5.0,religion,1.141826923076923,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
5.0,political affiliation,1.6014975041597337,sequential_gpt-3.5-turbo_ALL_SHUFFLED,same_ratio
5.0,gender,0.8814102564102564,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
5.0,age,0.9187560553125276,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
5.0,race/ethnicity,0.6201550387596899,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
5.0,religion,0.9270704573547589,sequential_gpt-3.5-turbo_ALL_SHUFFLED,cross_ratio
