graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.420213622457195,sequential_gpt-3.5-turbo_w_reason,same_ratio
0.0,age,1.249307172153863,sequential_gpt-3.5-turbo_w_reason,same_ratio
0.0,race/ethnicity,1.4988876529477198,sequential_gpt-3.5-turbo_w_reason,same_ratio
0.0,religion,1.2348790322580645,sequential_gpt-3.5-turbo_w_reason,same_ratio
0.0,political affiliation,1.7095163974021792,sequential_gpt-3.5-turbo_w_reason,same_ratio
0.0,gender,0.5952750206782464,sequential_gpt-3.5-turbo_w_reason,cross_ratio
0.0,age,0.8404181871045401,sequential_gpt-3.5-turbo_w_reason,cross_ratio
0.0,race/ethnicity,0.5513878469617405,sequential_gpt-3.5-turbo_w_reason,cross_ratio
0.0,religion,0.8792216595558037,sequential_gpt-3.5-turbo_w_reason,cross_ratio
0.0,political affiliation,0.3166356492969396,sequential_gpt-3.5-turbo_w_reason,cross_ratio
1.0,gender,1.1812698532748451,sequential_gpt-3.5-turbo_w_reason,same_ratio
1.0,age,1.1959153389565762,sequential_gpt-3.5-turbo_w_reason,same_ratio
1.0,race/ethnicity,1.2720415360501567,sequential_gpt-3.5-turbo_w_reason,same_ratio
1.0,religion,1.2715799825174825,sequential_gpt-3.5-turbo_w_reason,same_ratio
1.0,political affiliation,1.5518643170473454,sequential_gpt-3.5-turbo_w_reason,same_ratio
1.0,gender,0.8254115675990676,sequential_gpt-3.5-turbo_w_reason,cross_ratio
1.0,age,0.8856353307301607,sequential_gpt-3.5-turbo_w_reason,cross_ratio
1.0,race/ethnicity,0.7553735024665257,sequential_gpt-3.5-turbo_w_reason,cross_ratio
1.0,religion,0.8603494774693786,sequential_gpt-3.5-turbo_w_reason,cross_ratio
1.0,political affiliation,0.4684768356643357,sequential_gpt-3.5-turbo_w_reason,cross_ratio
2.0,gender,1.2106085816568346,sequential_gpt-3.5-turbo_w_reason,same_ratio
2.0,age,1.0460272831406852,sequential_gpt-3.5-turbo_w_reason,same_ratio
2.0,race/ethnicity,1.0752351097178683,sequential_gpt-3.5-turbo_w_reason,same_ratio
2.0,religion,1.3563519813519813,sequential_gpt-3.5-turbo_w_reason,same_ratio
2.0,political affiliation,1.8282660212776685,sequential_gpt-3.5-turbo_w_reason,same_ratio
2.0,gender,0.7971542346542346,sequential_gpt-3.5-turbo_w_reason,cross_ratio
2.0,age,1.033173103869795,sequential_gpt-3.5-turbo_w_reason,cross_ratio
2.0,race/ethnicity,0.9323467230443975,sequential_gpt-3.5-turbo_w_reason,cross_ratio
2.0,religion,0.8167584372775968,sequential_gpt-3.5-turbo_w_reason,cross_ratio
2.0,political affiliation,0.20226301476301475,sequential_gpt-3.5-turbo_w_reason,cross_ratio
3.0,gender,1.2205916495762874,sequential_gpt-3.5-turbo_w_reason,same_ratio
3.0,age,1.272676416526812,sequential_gpt-3.5-turbo_w_reason,same_ratio
3.0,race/ethnicity,1.4121391339214113,sequential_gpt-3.5-turbo_w_reason,same_ratio
3.0,religion,1.386753689624329,sequential_gpt-3.5-turbo_w_reason,same_ratio
3.0,political affiliation,1.7894110590875671,sequential_gpt-3.5-turbo_w_reason,same_ratio
3.0,gender,0.7875391323792487,sequential_gpt-3.5-turbo_w_reason,cross_ratio
3.0,age,0.9593424382929941,sequential_gpt-3.5-turbo_w_reason,cross_ratio
3.0,race/ethnicity,0.629394267171444,sequential_gpt-3.5-turbo_w_reason,cross_ratio
3.0,religion,0.8011254204156726,sequential_gpt-3.5-turbo_w_reason,cross_ratio
3.0,political affiliation,0.2396858228980322,sequential_gpt-3.5-turbo_w_reason,cross_ratio
4.0,gender,1.293246887371622,sequential_gpt-3.5-turbo_w_reason,same_ratio
4.0,age,1.2774025358454795,sequential_gpt-3.5-turbo_w_reason,same_ratio
4.0,race/ethnicity,1.2672413793103448,sequential_gpt-3.5-turbo_w_reason,same_ratio
4.0,religion,1.5231266578249336,sequential_gpt-3.5-turbo_w_reason,same_ratio
4.0,political affiliation,1.7571289230592688,sequential_gpt-3.5-turbo_w_reason,same_ratio
4.0,gender,0.7175618921308576,sequential_gpt-3.5-turbo_w_reason,cross_ratio
4.0,age,0.8291766597250976,sequential_gpt-3.5-turbo_w_reason,cross_ratio
4.0,race/ethnicity,0.7596899224806202,sequential_gpt-3.5-turbo_w_reason,cross_ratio
4.0,religion,0.7310003836153617,sequential_gpt-3.5-turbo_w_reason,cross_ratio
4.0,political affiliation,0.2707780725022104,sequential_gpt-3.5-turbo_w_reason,cross_ratio
5.0,gender,1.1323719726381956,sequential_gpt-3.5-turbo_w_reason,same_ratio
5.0,age,1.2472954053710068,sequential_gpt-3.5-turbo_w_reason,same_ratio
5.0,race/ethnicity,1.27767134951043,sequential_gpt-3.5-turbo_w_reason,same_ratio
5.0,religion,1.3996468423551756,sequential_gpt-3.5-turbo_w_reason,same_ratio
5.0,political affiliation,1.8872866210636594,sequential_gpt-3.5-turbo_w_reason,same_ratio
5.0,gender,0.8725071225071225,sequential_gpt-3.5-turbo_w_reason,cross_ratio
5.0,age,0.8829157636933882,sequential_gpt-3.5-turbo_w_reason,cross_ratio
5.0,race/ethnicity,0.7503110345487606,sequential_gpt-3.5-turbo_w_reason,cross_ratio
5.0,religion,0.7944955668482656,sequential_gpt-3.5-turbo_w_reason,cross_ratio
5.0,political affiliation,0.14541785375118707,sequential_gpt-3.5-turbo_w_reason,cross_ratio
6.0,gender,1.2102225457570714,sequential_gpt-3.5-turbo_w_reason,same_ratio
6.0,age,0.9997852233676976,sequential_gpt-3.5-turbo_w_reason,same_ratio
6.0,race/ethnicity,1.3200431034482758,sequential_gpt-3.5-turbo_w_reason,same_ratio
6.0,religion,1.288311298076923,sequential_gpt-3.5-turbo_w_reason,same_ratio
6.0,political affiliation,1.5032237936772048,sequential_gpt-3.5-turbo_w_reason,same_ratio
6.0,gender,0.7975260416666666,sequential_gpt-3.5-turbo_w_reason,cross_ratio
6.0,age,0.9764466692111212,sequential_gpt-3.5-turbo_w_reason,cross_ratio
