graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.051488260306896,sequential_gpt-4o_prompt_all,same_ratio
0.0,age,1.1359297441771667,sequential_gpt-4o_prompt_all,same_ratio
0.0,race/ethnicity,1.1789591315453385,sequential_gpt-4o_prompt_all,same_ratio
0.0,religion,1.3866631054131053,sequential_gpt-4o_prompt_all,same_ratio
0.0,political affiliation,2.032877303259999,sequential_gpt-4o_prompt_all,same_ratio
0.0,gender,0.9504095441595442,sequential_gpt-4o_prompt_all,cross_ratio
0.0,age,0.8920814181963297,sequential_gpt-4o_prompt_all,cross_ratio
0.0,race/ethnicity,0.8390755096181453,sequential_gpt-4o_prompt_all,cross_ratio
0.0,religion,0.801172000183125,sequential_gpt-4o_prompt_all,cross_ratio
0.0,political affiliation,0.0051934947768281095,sequential_gpt-4o_prompt_all,cross_ratio
1.0,gender,1.0646079805748077,sequential_gpt-4o_prompt_all,same_ratio
1.0,age,1.3148163180633348,sequential_gpt-4o_prompt_all,same_ratio
1.0,race/ethnicity,1.0976106434971489,sequential_gpt-4o_prompt_all,same_ratio
1.0,religion,1.1516063496870583,sequential_gpt-4o_prompt_all,same_ratio
1.0,political affiliation,2.0168703953603138,sequential_gpt-4o_prompt_all,same_ratio
1.0,gender,0.9377734033245845,sequential_gpt-4o_prompt_all,cross_ratio
1.0,age,0.7789560200045603,sequential_gpt-4o_prompt_all,cross_ratio
1.0,race/ethnicity,0.9122260880180675,sequential_gpt-4o_prompt_all,cross_ratio
1.0,religion,0.9220417287146894,sequential_gpt-4o_prompt_all,cross_ratio
1.0,political affiliation,0.020610404468672183,sequential_gpt-4o_prompt_all,cross_ratio
2.0,gender,1.0552349172813702,sequential_gpt-4o_prompt_all,same_ratio
2.0,age,1.2846802812813094,sequential_gpt-4o_prompt_all,same_ratio
2.0,race/ethnicity,0.9840975288922296,sequential_gpt-4o_prompt_all,same_ratio
2.0,religion,1.2597267344372247,sequential_gpt-4o_prompt_all,same_ratio
2.0,political affiliation,2.038269550748752,sequential_gpt-4o_prompt_all,same_ratio
2.0,gender,0.9468009851184238,sequential_gpt-4o_prompt_all,cross_ratio
2.0,age,0.8103369119692054,sequential_gpt-4o_prompt_all,cross_ratio
2.0,race/ethnicity,1.0142998965000105,sequential_gpt-4o_prompt_all,cross_ratio
2.0,religion,0.8664445963833306,sequential_gpt-4o_prompt_all,cross_ratio
2.0,political affiliation,0.0,sequential_gpt-4o_prompt_all,cross_ratio
3.0,gender,1.113250124023725,sequential_gpt-4o_prompt_all,same_ratio
3.0,age,1.1329325680711586,sequential_gpt-4o_prompt_all,same_ratio
3.0,race/ethnicity,1.0309571467564371,sequential_gpt-4o_prompt_all,same_ratio
3.0,religion,1.2664590521615586,sequential_gpt-4o_prompt_all,same_ratio
3.0,political affiliation,2.038269550748752,sequential_gpt-4o_prompt_all,same_ratio
3.0,gender,0.8909241593938164,sequential_gpt-4o_prompt_all,cross_ratio
3.0,age,0.8327911455460283,sequential_gpt-4o_prompt_all,cross_ratio
3.0,race/ethnicity,0.9721625657073899,sequential_gpt-4o_prompt_all,cross_ratio
3.0,religion,0.8629827370837968,sequential_gpt-4o_prompt_all,cross_ratio
3.0,political affiliation,0.0,sequential_gpt-4o_prompt_all,cross_ratio
4.0,gender,1.0821019125256532,sequential_gpt-4o_prompt_all,same_ratio
4.0,age,1.146327270439658,sequential_gpt-4o_prompt_all,same_ratio
4.0,race/ethnicity,1.043951708356348,sequential_gpt-4o_prompt_all,same_ratio
4.0,religion,1.1388014874141874,sequential_gpt-4o_prompt_all,same_ratio
4.0,political affiliation,2.038269550748752,sequential_gpt-4o_prompt_all,same_ratio
4.0,gender,0.9209242797629525,sequential_gpt-4o_prompt_all,cross_ratio
4.0,age,0.8741854111922096,sequential_gpt-4o_prompt_all,cross_ratio
4.0,race/ethnicity,0.9604775335710358,sequential_gpt-4o_prompt_all,cross_ratio
4.0,religion,0.9286261819971544,sequential_gpt-4o_prompt_all,cross_ratio
4.0,political affiliation,0.0,sequential_gpt-4o_prompt_all,cross_ratio
5.0,gender,1.0730722704499003,sequential_gpt-4o_prompt_all,same_ratio
5.0,age,1.2898563210138894,sequential_gpt-4o_prompt_all,same_ratio
5.0,race/ethnicity,1.1354576889828065,sequential_gpt-4o_prompt_all,same_ratio
5.0,religion,1.3042037175916004,sequential_gpt-4o_prompt_all,same_ratio
5.0,political affiliation,2.0325919196881705,sequential_gpt-4o_prompt_all,same_ratio
5.0,gender,0.9296210984929648,sequential_gpt-4o_prompt_all,cross_ratio
5.0,age,0.8073566031253611,sequential_gpt-4o_prompt_all,cross_ratio
5.0,race/ethnicity,0.8781930858759258,sequential_gpt-4o_prompt_all,cross_ratio
5.0,religion,0.8435738609170509,sequential_gpt-4o_prompt_all,cross_ratio
5.0,political affiliation,0.005468359402899793,sequential_gpt-4o_prompt_all,cross_ratio
6.0,gender,1.0412898791868626,sequential_gpt-4o_prompt_all,same_ratio
