graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.30857142857142855,sequential_gpt-4o_prompt_all,
0.0,avg_clustering_coef,0.8285532241184282,sequential_gpt-4o_prompt_all,
0.0,prop_nodes_lcc,1.0,sequential_gpt-4o_prompt_all,
0.0,radius,0.7668666559059943,sequential_gpt-4o_prompt_all,
0.0,diameter,1.5337333118119887,sequential_gpt-4o_prompt_all,
0.0,avg_shortest_path,0.7290971689076311,sequential_gpt-4o_prompt_all,
0.0,modularity,0.40654306990285827,sequential_gpt-4o_prompt_all,
1.0,density,0.3110204081632653,sequential_gpt-4o_prompt_all,
1.0,avg_clustering_coef,0.7905259114810198,sequential_gpt-4o_prompt_all,
1.0,prop_nodes_lcc,0.54,sequential_gpt-4o_prompt_all,
1.0,radius,0.6068261510845583,sequential_gpt-4o_prompt_all,
1.0,diameter,0.9102392266268374,sequential_gpt-4o_prompt_all,
1.0,avg_shortest_path,0.4598739492549644,sequential_gpt-4o_prompt_all,
1.0,modularity,0.5031206729080124,sequential_gpt-4o_prompt_all,
2.0,density,0.29959183673469386,sequential_gpt-4o_prompt_all,
2.0,avg_clustering_coef,0.8533092521513569,sequential_gpt-4o_prompt_all,
2.0,prop_nodes_lcc,0.52,sequential_gpt-4o_prompt_all,
2.0,radius,0.6138553528602697,sequential_gpt-4o_prompt_all,
2.0,diameter,1.2277107057205394,sequential_gpt-4o_prompt_all,
2.0,avg_shortest_path,0.560969353229231,sequential_gpt-4o_prompt_all,
2.0,modularity,0.47987214991573174,sequential_gpt-4o_prompt_all,
3.0,density,0.3093877551020408,sequential_gpt-4o_prompt_all,
3.0,avg_clustering_coef,0.7998991328588851,sequential_gpt-4o_prompt_all,
3.0,prop_nodes_lcc,0.52,sequential_gpt-4o_prompt_all,
3.0,radius,0.6138553528602697,sequential_gpt-4o_prompt_all,
3.0,diameter,0.9207830292904046,sequential_gpt-4o_prompt_all,
3.0,avg_shortest_path,0.4929730679893242,sequential_gpt-4o_prompt_all,
3.0,modularity,0.4824527815874298,sequential_gpt-4o_prompt_all,
4.0,density,0.356734693877551,sequential_gpt-4o_prompt_all,
4.0,avg_clustering_coef,0.8266511657230461,sequential_gpt-4o_prompt_all,
4.0,prop_nodes_lcc,0.52,sequential_gpt-4o_prompt_all,
4.0,radius,0.6138553528602697,sequential_gpt-4o_prompt_all,
4.0,diameter,0.6138553528602697,sequential_gpt-4o_prompt_all,
4.0,avg_shortest_path,0.3928674258305726,sequential_gpt-4o_prompt_all,
4.0,modularity,0.4974838848190021,sequential_gpt-4o_prompt_all,
5.0,density,0.29306122448979594,sequential_gpt-4o_prompt_all,
5.0,avg_clustering_coef,0.7508711506109542,sequential_gpt-4o_prompt_all,
5.0,prop_nodes_lcc,1.0,sequential_gpt-4o_prompt_all,
5.0,radius,0.7668666559059943,sequential_gpt-4o_prompt_all,
5.0,diameter,1.2781110931766573,sequential_gpt-4o_prompt_all,
