graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.2677551020408163,sequential_gpt-4o_w_interests,
0.0,avg_clustering_coef,0.7893001972227978,sequential_gpt-4o_w_interests,
0.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
0.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
0.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
0.0,avg_shortest_path,0.9004162231930247,sequential_gpt-4o_w_interests,
0.0,modularity,0.5142353881618085,sequential_gpt-4o_w_interests,
1.0,density,0.2857142857142857,sequential_gpt-4o_w_interests,
1.0,avg_clustering_coef,0.7953770063785544,sequential_gpt-4o_w_interests,
1.0,prop_nodes_lcc,0.46,sequential_gpt-4o_w_interests,
1.0,radius,0.318928988903801,sequential_gpt-4o_w_interests,
1.0,diameter,0.637857977807602,sequential_gpt-4o_w_interests,
1.0,avg_shortest_path,0.393303733351723,sequential_gpt-4o_w_interests,
1.0,modularity,0.5112326530612245,sequential_gpt-4o_w_interests,
2.0,density,0.2816326530612245,sequential_gpt-4o_w_interests,
2.0,avg_clustering_coef,0.8135213070383349,sequential_gpt-4o_w_interests,
2.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
2.0,radius,0.7668666559059943,sequential_gpt-4o_w_interests,
2.0,diameter,1.2781110931766573,sequential_gpt-4o_w_interests,
2.0,avg_shortest_path,0.7906551725789966,sequential_gpt-4o_w_interests,
2.0,modularity,0.4748456206679269,sequential_gpt-4o_w_interests,
3.0,density,0.28,sequential_gpt-4o_w_interests,
3.0,avg_clustering_coef,0.8123587477194288,sequential_gpt-4o_w_interests,
3.0,prop_nodes_lcc,0.92,sequential_gpt-4o_w_interests,
3.0,radius,1.0447570262568968,sequential_gpt-4o_w_interests,
3.0,diameter,1.8283247959495696,sequential_gpt-4o_w_interests,
3.0,avg_shortest_path,0.8196547877493723,sequential_gpt-4o_w_interests,
3.0,modularity,0.4709134799275812,sequential_gpt-4o_w_interests,
4.0,density,0.2742857142857143,sequential_gpt-4o_w_interests,
4.0,avg_clustering_coef,0.7817377447114289,sequential_gpt-4o_w_interests,
4.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
4.0,radius,0.7668666559059943,sequential_gpt-4o_w_interests,
4.0,diameter,1.2781110931766573,sequential_gpt-4o_w_interests,
4.0,avg_shortest_path,0.6829808339538285,sequential_gpt-4o_w_interests,
4.0,modularity,0.5076752054988662,sequential_gpt-4o_w_interests,
5.0,density,0.26448979591836735,sequential_gpt-4o_w_interests,
5.0,avg_clustering_coef,0.7875342141518612,sequential_gpt-4o_w_interests,
5.0,prop_nodes_lcc,0.9,sequential_gpt-4o_w_interests,
5.0,radius,1.0507892440554523,sequential_gpt-4o_w_interests,
5.0,diameter,1.3134865550693153,sequential_gpt-4o_w_interests,
5.0,avg_shortest_path,0.6368419660942135,sequential_gpt-4o_w_interests,
5.0,modularity,0.5089115607376924,sequential_gpt-4o_w_interests,
6.0,density,0.2710204081632653,sequential_gpt-4o_w_interests,
6.0,avg_clustering_coef,0.7894205390412821,sequential_gpt-4o_w_interests,
6.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
6.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
6.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
6.0,avg_shortest_path,0.8937387448286732,sequential_gpt-4o_w_interests,
6.0,modularity,0.5068451516911018,sequential_gpt-4o_w_interests,
7.0,density,0.27918367346938777,sequential_gpt-4o_w_interests,
7.0,avg_clustering_coef,0.7966325958183543,sequential_gpt-4o_w_interests,
7.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
7.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
7.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
7.0,avg_shortest_path,0.9191966310927634,sequential_gpt-4o_w_interests,
7.0,modularity,0.5148720973974898,sequential_gpt-4o_w_interests,
8.0,density,0.27510204081632655,sequential_gpt-4o_w_interests,
8.0,avg_clustering_coef,0.7856352895470542,sequential_gpt-4o_w_interests,
8.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
8.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
8.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
8.0,avg_shortest_path,0.8889393072542955,sequential_gpt-4o_w_interests,
8.0,modularity,0.5117901892241722,sequential_gpt-4o_w_interests,
9.0,density,0.26857142857142857,sequential_gpt-4o_w_interests,
9.0,avg_clustering_coef,0.7522080676461481,sequential_gpt-4o_w_interests,
9.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
9.0,radius,0.7668666559059943,sequential_gpt-4o_w_interests,
9.0,diameter,1.5337333118119887,sequential_gpt-4o_w_interests,
9.0,avg_shortest_path,0.8465790538804406,sequential_gpt-4o_w_interests,
9.0,modularity,0.5085087905691928,sequential_gpt-4o_w_interests,
10.0,density,0.26693877551020406,sequential_gpt-4o_w_interests,
10.0,avg_clustering_coef,0.7864163571206915,sequential_gpt-4o_w_interests,
10.0,prop_nodes_lcc,0.58,sequential_gpt-4o_w_interests,
10.0,radius,0.8909226131201102,sequential_gpt-4o_w_interests,
10.0,diameter,1.7818452262402205,sequential_gpt-4o_w_interests,
10.0,avg_shortest_path,0.6692891551764375,sequential_gpt-4o_w_interests,
10.0,modularity,0.5104882679160939,sequential_gpt-4o_w_interests,
11.0,density,0.2653061224489796,sequential_gpt-4o_w_interests,
11.0,avg_clustering_coef,0.7559236585567856,sequential_gpt-4o_w_interests,
11.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
11.0,radius,0.7668666559059943,sequential_gpt-4o_w_interests,
11.0,diameter,1.5337333118119887,sequential_gpt-4o_w_interests,
11.0,avg_shortest_path,0.8100615940753932,sequential_gpt-4o_w_interests,
11.0,modularity,0.503214201183432,sequential_gpt-4o_w_interests,
12.0,density,0.23918367346938776,sequential_gpt-4o_w_interests,
12.0,avg_clustering_coef,0.7339449844960682,sequential_gpt-4o_w_interests,
12.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
12.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
12.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
12.0,avg_shortest_path,0.7412000984430183,sequential_gpt-4o_w_interests,
12.0,modularity,0.4867092220060805,sequential_gpt-4o_w_interests,
13.0,density,0.2979591836734694,sequential_gpt-4o_w_interests,
13.0,avg_clustering_coef,0.818569597928731,sequential_gpt-4o_w_interests,
13.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
13.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
13.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
13.0,avg_shortest_path,0.8524218474492482,sequential_gpt-4o_w_interests,
13.0,modularity,0.4894689435166073,sequential_gpt-4o_w_interests,
14.0,density,0.27591836734693875,sequential_gpt-4o_w_interests,
14.0,avg_clustering_coef,0.7584611465246139,sequential_gpt-4o_w_interests,
14.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
14.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
14.0,diameter,1.5337333118119887,sequential_gpt-4o_w_interests,
14.0,avg_shortest_path,0.6829808339538285,sequential_gpt-4o_w_interests,
14.0,modularity,0.500730891775498,sequential_gpt-4o_w_interests,
15.0,density,0.26612244897959186,sequential_gpt-4o_w_interests,
15.0,avg_clustering_coef,0.778792627908727,sequential_gpt-4o_w_interests,
15.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
15.0,radius,0.7668666559059943,sequential_gpt-4o_w_interests,
15.0,diameter,1.5337333118119887,sequential_gpt-4o_w_interests,
15.0,avg_shortest_path,0.6577316188886243,sequential_gpt-4o_w_interests,
15.0,modularity,0.505415145470285,sequential_gpt-4o_w_interests,
16.0,density,0.26693877551020406,sequential_gpt-4o_w_interests,
16.0,avg_clustering_coef,0.774416387190381,sequential_gpt-4o_w_interests,
16.0,prop_nodes_lcc,0.52,sequential_gpt-4o_w_interests,
16.0,radius,0.9207830292904046,sequential_gpt-4o_w_interests,
16.0,diameter,1.5346383821506742,sequential_gpt-4o_w_interests,
16.0,avg_shortest_path,0.5373595319653746,sequential_gpt-4o_w_interests,
16.0,modularity,0.5099645559202836,sequential_gpt-4o_w_interests,
17.0,density,0.31265306122448977,sequential_gpt-4o_w_interests,
17.0,avg_clustering_coef,0.8112064376971497,sequential_gpt-4o_w_interests,
17.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
17.0,radius,0.7668666559059943,sequential_gpt-4o_w_interests,
17.0,diameter,1.5337333118119887,sequential_gpt-4o_w_interests,
17.0,avg_shortest_path,0.675259999595047,sequential_gpt-4o_w_interests,
17.0,modularity,0.48776663553504346,sequential_gpt-4o_w_interests,
18.0,density,0.2473469387755102,sequential_gpt-4o_w_interests,
18.0,avg_clustering_coef,0.7810581400024124,sequential_gpt-4o_w_interests,
18.0,prop_nodes_lcc,0.9,sequential_gpt-4o_w_interests,
18.0,radius,1.0507892440554523,sequential_gpt-4o_w_interests,
18.0,diameter,1.8388811770970415,sequential_gpt-4o_w_interests,
18.0,avg_shortest_path,0.8199340313462998,sequential_gpt-4o_w_interests,
18.0,modularity,0.5221002298249626,sequential_gpt-4o_w_interests,
19.0,density,0.283265306122449,sequential_gpt-4o_w_interests,
19.0,avg_clustering_coef,0.828549155351013,sequential_gpt-4o_w_interests,
19.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
19.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
19.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
19.0,avg_shortest_path,0.7914898573745406,sequential_gpt-4o_w_interests,
19.0,modularity,0.4859561992874286,sequential_gpt-4o_w_interests,
20.0,density,0.29061224489795917,sequential_gpt-4o_w_interests,
20.0,avg_clustering_coef,0.769567295793302,sequential_gpt-4o_w_interests,
20.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
20.0,radius,1.0224888745413259,sequential_gpt-4o_w_interests,
20.0,diameter,1.7893555304473203,sequential_gpt-4o_w_interests,
20.0,avg_shortest_path,0.7768828734525217,sequential_gpt-4o_w_interests,
20.0,modularity,0.5134294912258554,sequential_gpt-4o_w_interests,
21.0,density,0.2914285714285714,sequential_gpt-4o_w_interests,
21.0,avg_clustering_coef,0.7947623855332835,sequential_gpt-4o_w_interests,
21.0,prop_nodes_lcc,1.0,sequential_gpt-4o_w_interests,
21.0,radius,0.7668666559059943,sequential_gpt-4o_w_interests,
21.0,diameter,1.5337333118119887,sequential_gpt-4o_w_interests,
21.0,avg_shortest_path,0.8300940291684478,sequential_gpt-4o_w_interests,
21.0,modularity,0.49296973691437357,sequential_gpt-4o_w_interests,
22.0,density,0.26857142857142857,sequential_gpt-4o_w_interests,
22.0,avg_clustering_coef,0.7276868124995061,sequential_gpt-4o_w_interests,
22.0,prop_nodes_lcc,0.9,sequential_gpt-4o_w_interests,
22.0,radius,0.7880919330415892,sequential_gpt-4o_w_interests,
22.0,diameter,1.3134865550693153,sequential_gpt-4o_w_interests,
