graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0853785357737105,sequential_llama3.1-70b,same_ratio
0.0,age,1.1260738831615122,sequential_llama3.1-70b,same_ratio
0.0,race/ethnicity,1.1616379310344829,sequential_llama3.1-70b,same_ratio
0.0,religion,1.1852463942307692,sequential_llama3.1-70b,same_ratio
0.0,political affiliation,2.038269550748752,sequential_llama3.1-70b,same_ratio
0.0,gender,0.9177684294871795,sequential_llama3.1-70b,cross_ratio
0.0,age,0.9136879422213089,sequential_llama3.1-70b,cross_ratio
0.0,race/ethnicity,0.8546511627906977,sequential_llama3.1-70b,cross_ratio
0.0,religion,0.9047435105067985,sequential_llama3.1-70b,cross_ratio
0.0,political affiliation,0.0,sequential_llama3.1-70b,cross_ratio
1.0,gender,1.1491264559068222,sequential_llama3.1-70b,same_ratio
1.0,age,1.17053264604811,sequential_llama3.1-70b,same_ratio
1.0,race/ethnicity,1.0775862068965518,sequential_llama3.1-70b,same_ratio
1.0,religion,1.171875,sequential_llama3.1-70b,same_ratio
1.0,political affiliation,2.033069883527454,sequential_llama3.1-70b,same_ratio
1.0,gender,0.8563701923076923,sequential_llama3.1-70b,cross_ratio
1.0,age,0.8447160975896186,sequential_llama3.1-70b,cross_ratio
1.0,race/ethnicity,0.9302325581395349,sequential_llama3.1-70b,cross_ratio
1.0,religion,0.911619283065513,sequential_llama3.1-70b,cross_ratio
1.0,political affiliation,0.00500801282051282,sequential_llama3.1-70b,cross_ratio
2.0,gender,1.1185625583377299,sequential_llama3.1-70b,same_ratio
2.0,age,1.1807476322185904,sequential_llama3.1-70b,same_ratio
2.0,race/ethnicity,1.1333052985702272,sequential_llama3.1-70b,same_ratio
2.0,religion,1.127609052532833,sequential_llama3.1-70b,same_ratio
2.0,political affiliation,2.0332981616005843,sequential_llama3.1-70b,same_ratio
2.0,gender,0.885807535959975,sequential_llama3.1-70b,cross_ratio
2.0,age,0.8702625347207056,sequential_llama3.1-70b,cross_ratio
2.0,race/ethnicity,0.8801285687275479,sequential_llama3.1-70b,cross_ratio
