graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1393404155467384,sequential_llama3.1-70b_n5,same_ratio
0.0,age,1.2736805004846241,sequential_llama3.1-70b_n5,same_ratio
0.0,race/ethnicity,1.3213969938107868,sequential_llama3.1-70b_n5,same_ratio
0.0,religion,1.4799063116370808,sequential_llama3.1-70b_n5,same_ratio
0.0,political affiliation,2.038269550748752,sequential_llama3.1-70b_n5,same_ratio
0.0,gender,0.8657955292570677,sequential_llama3.1-70b_n5,cross_ratio
0.0,age,0.7997115281105769,sequential_llama3.1-70b_n5,cross_ratio
0.0,race/ethnicity,0.7109918505267343,sequential_llama3.1-70b_n5,cross_ratio
0.0,religion,0.753224937402935,sequential_llama3.1-70b_n5,cross_ratio
0.0,political affiliation,0.0,sequential_llama3.1-70b_n5,cross_ratio
1.0,gender,1.1072081510240135,sequential_llama3.1-70b_n5,same_ratio
1.0,age,1.2299718580741872,sequential_llama3.1-70b_n5,same_ratio
1.0,race/ethnicity,1.2863629913438341,sequential_llama3.1-70b_n5,same_ratio
1.0,religion,1.2360517568850902,sequential_llama3.1-70b_n5,same_ratio
1.0,political affiliation,1.987941907520388,sequential_llama3.1-70b_n5,same_ratio
1.0,gender,0.8967434314656536,sequential_llama3.1-70b_n5,cross_ratio
1.0,age,0.8559050978859885,sequential_llama3.1-70b_n5,cross_ratio
1.0,race/ethnicity,0.7424952946055444,sequential_llama3.1-70b_n5,cross_ratio
1.0,religion,0.8786186268674938,sequential_llama3.1-70b_n5,cross_ratio
1.0,political affiliation,0.04847261791706236,sequential_llama3.1-70b_n5,cross_ratio
2.0,gender,1.2291854542683314,sequential_llama3.1-70b_n5,same_ratio
2.0,age,1.221111723197188,sequential_llama3.1-70b_n5,same_ratio
2.0,race/ethnicity,1.2091997894182678,sequential_llama3.1-70b_n5,same_ratio
2.0,religion,1.2588079859072225,sequential_llama3.1-70b_n5,same_ratio
2.0,political affiliation,2.038269550748752,sequential_llama3.1-70b_n5,same_ratio
2.0,gender,0.7792620865139949,sequential_llama3.1-70b_n5,cross_ratio
2.0,age,0.8497047618428635,sequential_llama3.1-70b_n5,cross_ratio
2.0,race/ethnicity,0.8118823599029529,sequential_llama3.1-70b_n5,cross_ratio
2.0,religion,0.8669170307325035,sequential_llama3.1-70b_n5,cross_ratio
2.0,political affiliation,0.0,sequential_llama3.1-70b_n5,cross_ratio
3.0,gender,1.3482303799223516,sequential_llama3.1-70b_n5,same_ratio
3.0,age,1.4032073310423825,sequential_llama3.1-70b_n5,same_ratio
3.0,race/ethnicity,1.144037356321839,sequential_llama3.1-70b_n5,same_ratio
3.0,religion,1.349659455128205,sequential_llama3.1-70b_n5,same_ratio
3.0,political affiliation,2.038269550748752,sequential_llama3.1-70b_n5,same_ratio
3.0,gender,0.6646050347222222,sequential_llama3.1-70b_n5,cross_ratio
3.0,age,0.8230714135423701,sequential_llama3.1-70b_n5,cross_ratio
3.0,race/ethnicity,0.8704780361757106,sequential_llama3.1-70b_n5,cross_ratio
3.0,religion,0.8201998351874742,sequential_llama3.1-70b_n5,cross_ratio
3.0,political affiliation,0.0,sequential_llama3.1-70b_n5,cross_ratio
4.0,gender,1.3523134519390758,sequential_llama3.1-70b_n5,same_ratio
4.0,age,1.3559840074015332,sequential_llama3.1-70b_n5,same_ratio
4.0,race/ethnicity,1.2591180371352784,sequential_llama3.1-70b_n5,same_ratio
4.0,religion,1.4015694341715974,sequential_llama3.1-70b_n5,same_ratio
4.0,political affiliation,2.038269550748752,sequential_llama3.1-70b_n5,same_ratio
4.0,gender,0.6606724605522682,sequential_llama3.1-70b_n5,cross_ratio
4.0,age,0.7945127576542538,sequential_llama3.1-70b_n5,cross_ratio
4.0,race/ethnicity,0.7669946332737031,sequential_llama3.1-70b_n5,cross_ratio
4.0,religion,0.7935069411429114,sequential_llama3.1-70b_n5,cross_ratio
4.0,political affiliation,0.0,sequential_llama3.1-70b_n5,cross_ratio
5.0,gender,1.1353518988819802,sequential_llama3.1-70b_n5,same_ratio
5.0,age,1.4401338397540244,sequential_llama3.1-70b_n5,same_ratio
5.0,race/ethnicity,1.1394056261343013,sequential_llama3.1-70b_n5,same_ratio
5.0,religion,1.317370951417004,sequential_llama3.1-70b_n5,same_ratio
5.0,political affiliation,1.9935706570919813,sequential_llama3.1-70b_n5,same_ratio
5.0,gender,0.8696370332883491,sequential_llama3.1-70b_n5,cross_ratio
5.0,age,0.7639383572403896,sequential_llama3.1-70b_n5,cross_ratio
5.0,race/ethnicity,0.8746430028559772,sequential_llama3.1-70b_n5,cross_ratio
5.0,religion,0.8368030707175851,sequential_llama3.1-70b_n5,cross_ratio
5.0,political affiliation,0.04305133828160144,sequential_llama3.1-70b_n5,cross_ratio
6.0,gender,1.3343310976551108,sequential_llama3.1-70b_n5,same_ratio
6.0,age,1.280245863889184,sequential_llama3.1-70b_n5,same_ratio
6.0,race/ethnicity,1.295547458229648,sequential_llama3.1-70b_n5,same_ratio
6.0,religion,1.4875346946867565,sequential_llama3.1-70b_n5,same_ratio
6.0,political affiliation,2.0277630066727275,sequential_llama3.1-70b_n5,same_ratio
6.0,gender,0.6779920037007666,sequential_llama3.1-70b_n5,cross_ratio
6.0,age,0.9630803376719209,sequential_llama3.1-70b_n5,cross_ratio
6.0,race/ethnicity,0.734236394150084,sequential_llama3.1-70b_n5,cross_ratio
6.0,religion,0.7493023078001351,sequential_llama3.1-70b_n5,cross_ratio
6.0,political affiliation,0.010119283637324875,sequential_llama3.1-70b_n5,cross_ratio
7.0,gender,1.2873281373150012,sequential_llama3.1-70b_n5,same_ratio
7.0,age,1.2628865979381443,sequential_llama3.1-70b_n5,same_ratio
7.0,race/ethnicity,1.2338929219600727,sequential_llama3.1-70b_n5,same_ratio
7.0,religion,1.3948633603238865,sequential_llama3.1-70b_n5,same_ratio
7.0,political affiliation,2.038269550748752,sequential_llama3.1-70b_n5,same_ratio
7.0,gender,0.7232624831309041,sequential_llama3.1-70b_n5,cross_ratio
7.0,age,0.7493946618991624,sequential_llama3.1-70b_n5,cross_ratio
7.0,race/ethnicity,0.7896776825785394,sequential_llama3.1-70b_n5,cross_ratio
7.0,religion,0.796955305445319,sequential_llama3.1-70b_n5,cross_ratio
7.0,political affiliation,0.0,sequential_llama3.1-70b_n5,cross_ratio
8.0,gender,1.2383035442720913,sequential_llama3.1-70b_n5,same_ratio
8.0,age,1.4032073310423825,sequential_llama3.1-70b_n5,same_ratio
8.0,race/ethnicity,1.2831386725991842,sequential_llama3.1-70b_n5,same_ratio
8.0,religion,1.535682899090157,sequential_llama3.1-70b_n5,same_ratio
8.0,political affiliation,2.038269550748752,sequential_llama3.1-70b_n5,same_ratio
8.0,gender,0.7704800799558864,sequential_llama3.1-70b_n5,cross_ratio
8.0,age,0.7773056120376062,sequential_llama3.1-70b_n5,cross_ratio
8.0,race/ethnicity,0.7453946820038343,sequential_llama3.1-70b_n5,cross_ratio
8.0,religion,0.7245437750043197,sequential_llama3.1-70b_n5,cross_ratio
8.0,political affiliation,0.0,sequential_llama3.1-70b_n5,cross_ratio
9.0,gender,1.3293062287491861,sequential_llama3.1-70b_n5,same_ratio
9.0,age,1.4642163454355297,sequential_llama3.1-70b_n5,same_ratio
9.0,race/ethnicity,1.2167353823088456,sequential_llama3.1-70b_n5,same_ratio
9.0,religion,1.4883596362876255,sequential_llama3.1-70b_n5,same_ratio
9.0,political affiliation,2.027191998842509,sequential_llama3.1-70b_n5,same_ratio
9.0,gender,0.6828316610925307,sequential_llama3.1-70b_n5,cross_ratio
